,job_titles,companys,location,employment_type,gov_support,salary,salary_unit,links,industrys
0,"Data Scientist (SAS, Python)",OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD,Central,Middle Management,NA,"$5,000to$7,500",Monthly,https://www.mycareersfuture.sg/job/data-scientist-optimum-solutions-63455ef60186ec1b886a1cc4edd0b329,Information Technology
1,Python Developer,U3 INFOTECH PTE. LTD.,Central,Professional,NA,"$8,000to$10,000",Monthly,https://www.mycareersfuture.sg/job/python-developer-u3-infotech-04543fdcfaadb1d6f5da0a85ef316208,Information Technology
2,Python Developer,U3 INFOTECH PTE. LTD.,Central,Professional,NA,"$5,500to$8,000",Monthly,https://www.mycareersfuture.sg/job/python-developer-u3-infotech-28bcb86578ae6fa98a0746207a70438a,Information Technology
3,"PYTHON DEVELOPER, SITE RELIABILITY ENGINEER",TRADING TECHNOLOGIES SOFTWARE (SINGAPORE) PTE. LTD.,NA,Professional,NA,"$90,000to$150,000",Annually,https://www.mycareersfuture.sg/job/python-developer-site-reliability-engineer-trading-technologies-software-e23635bffec55961b8574b4ed2552a7f,Information Technology
4,Python Programmer,"KONG, LIM & PARTNERS LLP",Central,Professional,NA,"$6,000to$7,000",Monthly,https://www.mycareersfuture.sg/job/python-programmer-kong-lim-partners-4047c6d9b9f619cab324ddf238bb9329,Information Technology
5,Senior Software Developer ( Python),BENTO INVEST PTE. LTD.,NA,Senior Executive,NA,"$4,000to$7,000",Monthly,https://www.mycareersfuture.sg/job/senior-software-developer-bento-invest-c0a66269d35a47c122ead05b791b2e33,Information Technology
6,Python Application Analyst / Developer,OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD,"South, East, Central",Middle Management,NA,"$4,500to$7,000",Monthly,https://www.mycareersfuture.sg/job/python-application-analyst-developer-optimum-solutions-3be7ea2dea9111f5c35cfce57ad6b2ed,Information Technology
7,Python Developer,SYNECHRON TECHNOLOGIES SINGAPORE PTE. LTD.,Central,Professional ...,NA,"$70,000to$140,000",Annually,https://www.mycareersfuture.sg/job/python-developer-synechron-technologies-singapore-7af08d216eb3c01e562b4a772e8a1852,Information Technology
8,Full Stack python / PHP Web Developer,XILINX ASIA PACIFIC PTE. LTD.,East,Junior Executive,NA,"$3,000to$4,800",Monthly,https://www.mycareersfuture.sg/job/full-stack-python-php-web-developer-xilinx-asia-pacific-e748b3fdb49bf00af884d000607c80e9,Information Technology
9,Python Full Stack Developer,HYDROGEN CONSULTING SOLUTIONS PTE. LTD.,"South, Central",Professional,NA,"$7,500to$9,000",Monthly,https://www.mycareersfuture.sg/job/python-full-stack-developer-hydrogen-consulting-solutions-b0432f5df251b995383f28244b4c816f,Information Technology
