,job_titles,companys,location,employment_type,gov_support,salary,salary_unit,links,industrys
0,"Data Analyst, APAC",TRAX TECHNOLOGY SOLUTIONS PTE. LTD.,NA,Senior Executive,NA,Salary undisclosed,,https://www.mycareersfuture.sg/job/data-analyst-apac-trax-technology-solutions-81062e27e4e842e05f1440d5027c50d9,Others ...
1,Senior Data Analyst,THOUCENTRIC PTE. LTD.,South,Senior Executive,NA,Salary undisclosed,,https://www.mycareersfuture.sg/job/senior-data-analyst-thoucentric-7ad2d604984c428da533a48377b20e4f,Information Technology
2,Junior Data Analyst,STREETSINE SINGAPORE PTE. LTD.,Central,Junior Executive,NA,"$3,500to$4,500",Monthly,https://www.mycareersfuture.sg/job/junior-data-analyst-streetsine-singapore-32ed1ebc87edb12e3e84d712f50a66a5,Information Technology
3,Data Analyst at Viki Inc,VIKI PRIVATE LIMITED,Central,Professional,NA,"$6,000to$8,000",Monthly,https://www.mycareersfuture.sg/job/data-analyst-viki-viki-31ea3806e6d565880e783372121f1d63,Engineering
4,HR Data Analyst / MNC / Central / 5 days week / 1 year contract,CAREER TREND PTE. LTD.,Central,Executive,NA,"$4,000to$5,500",Monthly,https://www.mycareersfuture.sg/job/hr-data-analyst-mnc-central-5-days-week-1-year-contract-career-trend-0c3a69063a22450c81d26565c20cce5f,Information Technology
5,"Data Analyst, Google Pay - Singapore",GOOGLE ASIA PACIFIC PTE. LTD.,South,Executive,NA,"$6,600to$13,200",Monthly,https://www.mycareersfuture.sg/job/data-analyst-google-pay-singapore-google-asia-pacific-63467be01a0a69fe3a1013af2eabe5d1,Banking and Finance
6,Office of Planning - Manager (Data Analyst / Scientist),Republic Polytechnic,NA,NA,NA,"$5,700to$6,300",Monthly,https://www.mycareersfuture.sg/job/office-planning-manager-republic-polytechnic-ba6127e745a10ce5155e458624a308bb,Education and Training ...
7,CRM Data Analyst,ASPIRE GLOBAL NETWORK PTE. LTD.,Central,Professional,NA,"$3,500to$6,200",Monthly,https://www.mycareersfuture.sg/job/crm-data-analyst-aspire-global-network-72550b8ea34bcc4bb37f4efba636afd6,Information Technology
8,CRM Data Analyst,ASPIRE GLOBAL NETWORK PTE. LTD.,Central,Professional ...,NA,"$6,000to$10,000",Monthly,https://www.mycareersfuture.sg/job/crm-data-analyst-aspire-global-network-dccc8a3b7b4f2f1946c7e0d24ea01269,Information Technology
9,Data Analyst,99 PTE. LTD.,West,Junior Executive,NA,"$3,600to$4,000",Monthly,https://www.mycareersfuture.sg/job/data-analyst-99-2c1cd1db7ee7ac80264d94b0dc01481b,Engineering
10,Senior Data Analyst,99 PTE. LTD.,West,Professional ...,NA,"$5,500to$7,500",Monthly,https://www.mycareersfuture.sg/job/senior-data-analyst-99-4dcdad3423c05d06ef994cf250433207,Engineering
11,CRM Data Analyst,ASPIRE GLOBAL NETWORK PTE. LTD.,Central,Professional,NA,"$6,000to$8,500",Monthly,https://www.mycareersfuture.sg/job/crm-data-analyst-aspire-global-network-72bfadbede4b04ee506d44018271dc36,Information Technology
12,Predictive / Data Analyst,GOVERNMENT TECHNOLOGY AGENCY,NA,Middle Management,NA,"$6,500to$10,000",Monthly,https://www.mycareersfuture.sg/job/predictive-data-analyst-government-technology-agency-a72a9f076c771504faaf3adae39ce6d9,Information Technology ...
13,SENIOR DATA ANALYST,ASPIRE NXT PTE. LTD.,NA,Senior Executive,NA,"$4,000to$7,500",Monthly,https://www.mycareersfuture.sg/job/senior-data-analyst-aspire-nxt-b94abacf468080634ad881ada1ff48ae,Consulting  ...
14,Junior Data Analyst - SQL (Training Program for 15th April to 14th Jan 2020),MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,Central,Fresh/entry level,NA,"$2,800to$3,500",Monthly,https://www.mycareersfuture.sg/job/junior-data-analyst-sql-manpower-staffing-services-16a68bf4e83290fc7cb082afbc69bd67,Information Technology
15,Data Analyst - Singapore,GOOGLE ASIA PACIFIC PTE. LTD.,South,Executive,NA,"$10,500to$21,000",Monthly,https://www.mycareersfuture.sg/job/data-analyst-singapore-google-asia-pacific-fb3f4ab2a24f0992c6947041e0ae57bf,Sales / Retail 
16,Data Analyst (Vigilance and Compliance Branch) – Contract,Health Sciences Authority,NA,NA,NA,Salary undisclosed,,https://www.mycareersfuture.sg/job/data-analyst-%E2%80%93-contract-health-sciences-authority-583a69da0d154e7ce180831dff95f1e8,Information Technology ...
17,DATA ANALYST,QUEST GLOBAL SERVICES PTE. LTD.,Islandwide,Professional,NA,"$5,000to$6,800",Monthly,https://www.mycareersfuture.sg/job/data-analyst-quest-global-services-b00f0d4e1733ab44063674b7372f5ec6,Information Technology
18,Data Analyst (#FinTech #Startup),CANOPY PTE. LTD.,Central,Executive,NA,"$3,000to$4,500",Monthly,https://www.mycareersfuture.sg/job/data-analyst-canopy-cad9a6b0210be2fcfe4ce0185f981169,Banking and Finance ...
19,Data Analyst,GROUPM SINGAPORE PTE. LTD.,Central,Executive,NA,"$3,000to$4,600",Monthly,https://www.mycareersfuture.sg/job/data-analyst-groupm-singapore-61629b0379a6c7f101c7869394a4c2de,Advertising / Media 
