,job_titles,companys,location,employment_type,gov_support,salary,salary_unit,links,industrys
0,Big Data Consultant,ITCAN PTE. LIMITED,Islandwide,Manager,NA,"$5,000to$10,000",Monthly,https://www.mycareersfuture.sg/job/big-data-consultant-itcan-724b6d7476f12057da5b8b8ce3fb25e5,Information Technology
1,Consultant  /  Senior Consultant (Data Quality),Singapore Tourism Board,Central,Professional,NA,"$4,000to$6,000",Monthly,https://www.mycareersfuture.sg/job/consultant-senior-consultant-singapore-tourism-board-2c852c5beb2bc020b6dd0750ded072b1,Information Technology
2,Senior Consultant - Data Migration - AX Dynamics,HCL SINGAPORE PTE. LTD.,Central,Senior Executive,NA,"$5,500to$8,000",Monthly,https://www.mycareersfuture.sg/job/senior-consultant-data-migration-ax-dynamics-hcl-singapore-b0b1354ca099e36590ecf9a485e327c7,Information Technology
3,Principle Consultant (Enterprise Data Services),MSG GLOBAL SOLUTIONS ASIA PTE. LTD.,Central,Professional,NA,Salary undisclosed,,https://www.mycareersfuture.sg/job/principle-consultant-msg-global-solutions-asia-4be8b29ad9de7d2e7856f6eb30f50d06,Consulting  ...
4,TECHNICAL CONSULTANT - DATA INTELLIGENCE & ANALYSIS,HITACHI VANTARA PTE. LIMITED,East,Senior Executive,NA,"$6,000to$11,000",Monthly,https://www.mycareersfuture.sg/job/technical-consultant-data-intelligence-analysis-hitachi-vantara-7a0ba2a1d5aa94d0f68c77a4cd46caf7,Information Technology
5,Senior SAP® Data Migration Consultant,CPM CONSULTING PTE. LTD.,Central,Professional,NA,"$6,000to$8,000",Monthly,https://www.mycareersfuture.sg/job/senior-sap%C2%AE-data-migration-consultant-cpm-consulting-2eb8556112eb7febde432a376598c35d,Consulting 
6,Data Integration Consultant,MARKS SATTIN (SINGAPORE) PTE. LIMITED,Central,Executive,NA,"$11,000to$22,000",Monthly,https://www.mycareersfuture.sg/job/data-integration-consultant-marks-sattin-022a865c6759e48d6668a611e79de949,Information Technology
7,"Pre-sales Consultant - Big Data (5 days, Orchard, $5000)",MACHSPEED HUMAN RESOURCES PTE. LTD.,Central,Professional,NA,"$4,000to$5,000",Monthly,https://www.mycareersfuture.sg/job/pre-sales-consultant-big-data-machspeed-human-resources-b8c2264d833d55e8611c7d0a12b4ee2f,Information Technology
8,"Pre-sales Consultant - Big Data (5 days, Orchard, $5000)",MACHSPEED HUMAN RESOURCES PTE. LTD.,Central,Professional,NA,"$4,000to$5,000",Monthly,https://www.mycareersfuture.sg/job/pre-sales-consultant-big-data-machspeed-human-resources-ad3efea2b04a67429a8a3cf94f7701e7,Information Technology
9,Data Migration Consultant,INTELLECT MINDS PTE. LTD.,Central,Executive,NA,"$7,000to$8,500",Monthly,https://www.mycareersfuture.sg/job/data-migration-consultant-intellect-minds-4b0565d2f602cadc500ddee9ba73d01b,Information Technology
10,Senior Database Consultant - Big Data Engineer,PALO IT SINGAPORE PTE. LTD.,Central,Professional,NA,"$6,000to$12,000",Monthly,https://www.mycareersfuture.sg/job/senior-database-consultant-big-data-engineer-palo-singapore-3457c8d2b5a325c08dd1464799c45875,Information Technology
11,Senior Database Consultant - Big Data Engineer,PALO IT SINGAPORE PTE. LTD.,Central,Professional,NA,"$6,000to$12,000",Monthly,https://www.mycareersfuture.sg/job/senior-database-consultant-big-data-engineer-palo-singapore-705c8891b878db36611d27e4aaae5c2e,Information Technology
12,Senior Database Consultant - Big Data Engineer,PALO IT SINGAPORE PTE. LTD.,Central,Professional,NA,"$6,000to$12,000",Monthly,https://www.mycareersfuture.sg/job/senior-database-consultant-big-data-engineer-palo-singapore-a5c4c29bbf0aee683038d5e538eb60e5,Information Technology
13,Senior Consultant (Data Scientist),HITACHI CONSULTING SINGAPORE PTE. LTD.,East,Senior Executive,NA,"$6,000to$9,000",Monthly,https://www.mycareersfuture.sg/job/senior-consultant-hitachi-consulting-singapore-5193ca946c3bef56dd1154b4bac5bb7e,Information Technology
14,SAP Master Data Data Governance consultant,GENIE GENIUS PTE. LTD.,Islandwide,Executive,NA,"$4,500to$6,500",Monthly,https://www.mycareersfuture.sg/job/sap-master-data-data-governance-consultant-genie-genius-eec7b074e8bb069323df1446c8dbe6dc,Information Technology
15,Senior / System Consultant (Data Analytics),ST ELECTRONICS (INFO-SOFTWARE SYSTEMS) PTE. LTD.,North,Professional ...,NA,"$12,000to$13,500",Monthly,https://www.mycareersfuture.sg/job/senior-system-consultant-st-electronics-ef476ea8fb901a73fee9447e59adff0d,Information Technology
16,SAP Data Migration Architect / Senior Consultant,KLARE SERVICES SINGAPORE PTE. LTD.,Islandwide,Executive,NA,"$12,000to$24,000",Monthly,https://www.mycareersfuture.sg/job/sap-data-migration-architect-senior-consultant-klare-services-singapore-93627c5f361fb7956209ae7697a620b7,Information Technology
17,Consultant( Data Loss Prevention),ENCORA TECHNOLOGIES PTE. LTD.,Islandwide,Middle Management,NA,"$5,000to$9,000",Monthly,https://www.mycareersfuture.sg/job/consultant-encora-technologies-a2636bc38db5393225eb61e7d20cdbeb,Information Technology
18,SAP Data Migration Consultant,Company Undisclosed,NA,Executive,NA,"$2,000to$4,000",Monthly,https://www.mycareersfuture.sg/job/sap-data-migration-consultant-6f82945a6b34bcbb9a6ffe6e6bb05dda,Information Technology
