,job_titles,companys,location,employment_type,gov_support,salary,salary_unit,links,industrys
0,School of Infocomm - Lecturer (Data Analytics  /  Machine Learning  /  Artificial Intelligence),Republic Polytechnic,NA,NA,NA,Salary undisclosed,,https://www.mycareersfuture.sg/job/school-infocomm-lecturer-republic-polytechnic-1e7a2170ae00170cdf89cf8a8fcd5b3c,Education and Training ...
1,"Specialist Manager, Data Analytics and Machine Learning - Singapore",GOOGLE ASIA PACIFIC PTE. LTD.,South,Senior Management,NA,"$11,400to$22,800",Monthly,https://www.mycareersfuture.sg/job/specialist-manager-data-analytics-machine-learning-singapore-google-asia-pacific-43b65e25f8e3675e6f90fbaf332e50b8,Engineering
2,Software Engineer in Machine Learning,LEADIQ SINGAPORE PTE. LTD.,Central,Professional,NA,"$5,000to$7,500",Monthly,https://www.mycareersfuture.sg/job/software-engineer-machine-learning-leadiq-singapore-fd46a5106f5ea860263dae08acd0213f,Information Technology ...
3,"Software Engineer, Machine Learning - Singapore",GOOGLE ASIA PACIFIC PTE. LTD.,South,Executive,NA,"$6,700to$13,400",Monthly,https://www.mycareersfuture.sg/job/software-engineer-machine-learning-singapore-google-asia-pacific-88776bf252b69e1f1e2b65406811aa20,Engineering
4,"Vice President, Machine Learning Engineer",LAZADA SOUTH EAST ASIA PTE. LTD.,Central,Middle Management,NA,"$9,000to$13,500",Monthly,https://www.mycareersfuture.sg/job/vice-president-machine-learning-engineer-lazada-south-east-asia-8e729fc4f77a8e0eced761573b0546cd,Information Technology
5,Machine Learning Algorithm Engineer / Senior Engineer,MEDIATEK SINGAPORE PTE. LTD.,South,Executive ...,NA,"$3,500to$7,000",Monthly,https://www.mycareersfuture.sg/job/machine-learning-algorithm-engineer-senior-engineer-mediatek-singapore-b68df3b89b5f97f841f19007f29bb9d7,Engineering
6,Machine Learning Developer,AVIATION VIRTUAL PTE. LTD.,NA,Professional,NA,"$2,000to$4,000",Monthly,https://www.mycareersfuture.sg/job/machine-learning-developer-aviation-virtual-e156baed07dcb4a0e7e5b887b5169db3,Information Technology
7,MACHINE LEARNING,ZENIKA PTE. LTD.,Central,Professional,NA,"$5,000to$7,000",Monthly,https://www.mycareersfuture.sg/job/machine-learning-zenika-206083188470c820d5fd136238fdb43f,Information Technology
8,Senior Machine Learning Engineer,MINDCRAFT SINGAPORE PTE. LTD.,East,Senior Executive,NA,"$4,000to$7,000",Monthly,https://www.mycareersfuture.sg/job/senior-machine-learning-engineer-mindcraft-singapore-77a6453165f62994e6f9bb0e7328c3ae,Information Technology
9,Software Engineer – Machine Learning,SHOPEE SINGAPORE PRIVATE LIMITED,South,Executive,NA,"$4,400to$8,400",Monthly,https://www.mycareersfuture.sg/job/software-engineer-%E2%80%93-machine-learning-shopee-singapore-a50cabdc318b274048f9df46e78f84da,Information Technology
