,job_titles,companys,location,employment_type,gov_support,salary,salary_unit,links,industrys
0,Research Engineer (Deep Learning 2.0)  /  I2R (A*STAR),A*STAR RESEARCH ENTITIES,South,Professional,NA,"$2,500to$5,000",Monthly,https://www.mycareersfuture.sg/job/research-engineer-i2r-astar-research-entities-40e2065c71f4a0f5e8b3560a278717b7,Sciences / Laboratory / R&D
1,Research Engineer (Deep Learning 2.0)  /  I2R (A*STAR),A*STAR RESEARCH ENTITIES,South,Professional,NA,"$2,500to$5,000",Monthly,https://www.mycareersfuture.sg/job/research-engineer-i2r-astar-research-entities-e6bb95623878ad45386539bdbec81056,Sciences / Laboratory / R&D
2,"Scientist (Deep Learning 2.0), I2R / A*STAR",A*STAR RESEARCH ENTITIES,South,Professional,NA,"$4,500to$9,000",Monthly,https://www.mycareersfuture.sg/job/scientist-i2r-astar-astar-research-entities-5a6c2f877a11f68e35571ad20cd66971,Sciences / Laboratory / R&D
3,"Scientist (Deep Learning 2.0), I2R / A*STAR",A*STAR RESEARCH ENTITIES,South,Professional,NA,"$4,500to$9,000",Monthly,https://www.mycareersfuture.sg/job/scientist-i2r-astar-astar-research-entities-583ca4f5e4e94708c06f35b31bb1befd,Sciences / Laboratory / R&D
4,"Scientist (Deep Learning 2.0), I2R / A*STAR",A*STAR RESEARCH ENTITIES,South,Professional,NA,"$4,500to$9,000",Monthly,https://www.mycareersfuture.sg/job/scientist-i2r-astar-astar-research-entities-f67c0b817420bcae56a180bf5d868f52,Sciences / Laboratory / R&D
5,"Scientist (Deep Learning 2.0), I2R / A*STAR",A*STAR RESEARCH ENTITIES,South,Professional,NA,"$4,500to$9,000",Monthly,https://www.mycareersfuture.sg/job/scientist-i2r-astar-astar-research-entities-ac2eac084120e2a67448d180b6ec6c0a,Sciences / Laboratory / R&D
6,"Scientist (Deep Learning 2.0), I2R / A*STAR",A*STAR RESEARCH ENTITIES,South,Professional,NA,"$4,500to$9,000",Monthly,https://www.mycareersfuture.sg/job/scientist-i2r-astar-astar-research-entities-1c407c761616b3f043081682b429b55b,Sciences / Laboratory / R&D
7,Research Engineer (Deep Learning 2.0)  /  I2R (A*STAR),A*STAR RESEARCH ENTITIES,South,Professional,NA,"$2,500to$5,000",Monthly,https://www.mycareersfuture.sg/job/research-engineer-i2r-astar-research-entities-b3406e5e5ef17a7d2c0e6b9cbcbffb49,Sciences / Laboratory / R&D
8,Research Engineer (Deep Learning 2.0)  /  I2R (A*STAR),A*STAR RESEARCH ENTITIES,South,Professional,NA,"$2,500to$5,000",Monthly,https://www.mycareersfuture.sg/job/research-engineer-i2r-astar-research-entities-5fedab6df5cd55b194d932c641c55e59,Sciences / Laboratory / R&D
9,"Scientist (Deep Learning 2.0), I2R / A*STAR",A*STAR RESEARCH ENTITIES,South,Professional,NA,"$4,500to$9,000",Monthly,https://www.mycareersfuture.sg/job/scientist-i2r-astar-astar-research-entities-c2ff59da8ad9e3b133d1587e92e4c24d,Sciences / Laboratory / R&D
10,Junior Computer Vision Engineer for Deep learning applied to Real World Robotic System,TUM CREATE LIMITED,South,Executive,NA,"$3,000to$5,000",Monthly,https://www.mycareersfuture.sg/job/junior-computer-vision-engineer-deep-learning-applied-real-world-robotic-system-tum-create-d1bd37b6b17a97b610f018d58880f575,Engineering ...
11,Principal Engineer  /  Senior Engineer (Computer Vision  /  Deep Learning),PANASONIC ASIA PACIFIC PTE. LTD.,East,Professional,NA,Salary undisclosed,,https://www.mycareersfuture.sg/job/principal-engineer-senior-engineer-panasonic-asia-pacific-75aeb587bf9ac540ba011d08d0e9b2ef,Engineering
12,Deep learning and Computer vision engineer,VEBITS AI PTE. LIMITED,South,Fresh/entry level,NA,"$3,000to$4,000",Monthly,https://www.mycareersfuture.sg/job/deep-learning-computer-vision-engineer-vebits-ai-839d839e59f1c17705b1f5d8be41bffc,Information Technology
13,Deep Learning Engineer,GRAYMATICS - SG PTE. LTD.,South,Fresh/entry level,NA,"$3,800to$4,500",Monthly,https://www.mycareersfuture.sg/job/deep-learning-engineer-graymatics-sg-8cfe876f580e9ca22d7a55910a8de6bb,Engineering
14,Research Fellow,NANYANG TECHNOLOGICAL UNIVERSITY,West,Professional,NA,"$4,600to$7,000",Monthly,https://www.mycareersfuture.sg/job/research-fellow-nanyang-technological-university-d8c78d775be5b7ad21a34890272bc209,Engineering ...
