,job_titles,companys,location,employment_type,gov_support,salary,salary_unit,links,industrys
172,"Scientist (Robotics & Autonomous Systems), I2R / A*STAR",A*STAR RESEARCH ENTITIES,South,Professional,NA,"$4,500to$9,000",Monthly,https://www.mycareersfuture.sg/job/scientist-i2r-astar-astar-research-entities-36b5c714373ff8343b46c91b122cbd52,Sciences / Laboratory / R&D
173,"Scientist (Deep Learning 2.0), I2R / A*STAR",A*STAR RESEARCH ENTITIES,South,Professional,NA,"$4,500to$9,000",Monthly,https://www.mycareersfuture.sg/job/scientist-i2r-astar-astar-research-entities-1c407c761616b3f043081682b429b55b,Sciences / Laboratory / R&D
174,Research Engineer (Deep Learning 2.0)  /  I2R (A*STAR),A*STAR RESEARCH ENTITIES,South,Professional,NA,"$2,500to$5,000",Monthly,https://www.mycareersfuture.sg/job/research-engineer-i2r-astar-research-entities-b3406e5e5ef17a7d2c0e6b9cbcbffb49,Sciences / Laboratory / R&D
175,Research Engineer (Deep Learning 2.0)  /  I2R (A*STAR),A*STAR RESEARCH ENTITIES,South,Professional,NA,"$2,500to$5,000",Monthly,https://www.mycareersfuture.sg/job/research-engineer-i2r-astar-research-entities-5fedab6df5cd55b194d932c641c55e59,Sciences / Laboratory / R&D
176,"Industry Development Manager, I2R / A*STAR",A*STAR RESEARCH ENTITIES,South,Manager,NA,"$5,700to$11,400",Monthly,https://www.mycareersfuture.sg/job/industry-development-manager-i2r-astar-astar-research-entities-93ae7bd626aa378d2c3abe94ba8fbb3f,Sciences / Laboratory / R&D
177,Scientist (Human Language Technology) /  I2R (A*STAR),A*STAR RESEARCH ENTITIES,South,Professional,NA,"$4,500to$9,000",Monthly,https://www.mycareersfuture.sg/job/scientist-i2r-astar-research-entities-546b8906d95c854ed0f6737514214ea3,Sciences / Laboratory / R&D
178,EDW Tester,ARYAN SOLUTIONS PTE. LTD.,Central,Executive,NA,"$4,500to$5,500",Monthly,https://www.mycareersfuture.sg/job/edw-tester-aryan-solutions-da65644675fe417b728b8e4c2f759da5,Information Technology
179,Technical Architect,CAPITA PTE. LTD.,Islandwide,Senior Executive,NA,"$7,000to$14,000",Monthly,https://www.mycareersfuture.sg/job/technical-architect-capita-6f2a5dc6bb47e482c522b354fd920105,Information Technology
180,Postdoctoral Associate / Research Scientist - Behavioral Modeling (Ref: IRG_FM_2019_007),SINGAPORE-MIT ALLIANCE FOR RESEARCH AND TECHNOLOGY CENTRE,NA,Professional,NA,"$4,500to$8,000",Monthly,https://www.mycareersfuture.sg/job/postdoctoral-associate-research-scientist-behavioral-modeling-singapore-mit-alliance-research-technology-centre-6fd14bcb531d5369b0cf083e9e2cb723,Sciences / Laboratory / R&D
181,Senior Data Scientist,TOOKITAKI HOLDING PTE. LTD.,Central,Middle Management,NA,"$10,000to$15,000",Monthly,https://www.mycareersfuture.sg/job/senior-data-scientist-tookitaki-holding-395580c3119b6ab9df765ccca205970e,Information Technology
