,job_titles,companys,location,employment_type,gov_support,salary,salary_unit,links,industrys
0,"Senior Manager  /  Manager, Data Management & Analytics",Health Promotion Board,NA,Manager,NA,Salary undisclosed,,https://www.mycareersfuture.sg/job/senior-manager-manager-data-management-analytics-health-promotion-board-904255ed1a0a40e77d7823b8224940f2,Healthcare / Pharmaceutical ...
1,Data Management Analyst-Operations (Financial Institution / Town),UNILITE RECRUITMENT SERVICES PTE. LTD.,Central,Executive ...,NA,Salary undisclosed,,https://www.mycareersfuture.sg/job/data-management-analyst-operations-unilite-recruitment-services-565d5ed6978c091752d10f8391774e28,Accounting / Auditing / Taxation ...
2,"Manager, Clinical Data Management",TESSA THERAPEUTICS LTD.,Central,Manager,NA,Salary undisclosed,,https://www.mycareersfuture.sg/job/manager-clinical-data-management-tessa-therapeutics-a3ce7789b91cde28adb575dbd7999f38,Healthcare / Pharmaceutical
3,"Data Analyst, Data Management",AIA SINGAPORE PRIVATE LIMITED,Central,Professional,NA,"$4,500to$6,000",Monthly,https://www.mycareersfuture.sg/job/data-analyst-data-management-aia-singapore-16a3c3a228354ff7749efaaae1e2e1f2,Banking and Finance ...
4,Research Data Management Associate (Contract),GIC PRIVATE LIMITED,Central,Executive,NA,"$3,500to$7,000",Monthly,https://www.mycareersfuture.sg/job/research-data-management-associate-gic-2bf35a81c8111cee14d72d5ce0bd907e,Information Technology
5,"Senior Associate Executive / Associate Executive, Data Management",AGENCY FOR INTEGRATED CARE PTE. LTD.,Central,Executive ...,NA,Salary undisclosed,,https://www.mycareersfuture.sg/job/senior-associate-executive-associate-executive-data-management-agency-integrated-care-b318aba68e17e53534ba739a9dc9ef48,Information Technology
6,Technical Support Executive / Assistant (Technical Data Management),SINGAPORE AERO ENGINE SERVICES PRIVATE LIMITED,East,Fresh/entry level,NA,"$1,600to$3,000",Monthly,https://www.mycareersfuture.sg/job/technical-support-executive-assistant-singapore-aero-engine-services-17b8582e861d01c0e1b795f7d7bf755d,Engineering
7,Hiring for Solution Architect- Product Master Data Management,ARYAN SOLUTIONS PTE. LTD.,East,Senior Management,NA,"$8,000to$12,000",Monthly,https://www.mycareersfuture.sg/job/hiring-solution-architect-product-master-data-management-aryan-solutions-9ce6977a0ce947faa5d6d70e963b3761,Consulting 
8,Product Master Data Management,INTELLECT MINDS PTE. LTD.,Central,Executive,NA,"$6,500to$8,000",Monthly,https://www.mycareersfuture.sg/job/product-master-data-management-intellect-minds-4b2fb1e733823987b153338b9251f6a6,Information Technology
9,Technical Services Engineer (Technical Data Management),SINGAPORE AERO ENGINE SERVICES PRIVATE LIMITED,East,Executive,NA,"$3,200to$4,500",Monthly,https://www.mycareersfuture.sg/job/technical-services-engineer-singapore-aero-engine-services-8868c39ddf791676e01cf8066ab887fb,Engineering
