,job_titles,companys,location,employment_type,gov_support,salary,salary_unit,links,industrys
61,Data Scientist,ASIACLOUD SOLUTIONS PRIVATE LIMITED,NA,Professional ...,NA,"$6,000to$7,500",Monthly,https://www.mycareersfuture.sg/job/data-scientist-asiacloud-solutions-d3c1e071bc63174c875e534bf3a92553,Information Technology
62,Data Scientist,MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,South,Executive,NA,"$5,000to$7,000",Monthly,https://www.mycareersfuture.sg/job/data-scientist-manpower-staffing-services-9dbd9a4ac51dc8c42bb598026a99827b,Information Technology
63,Data Scientist /  Engineer,AXINAN PTE. LTD.,Central,Senior Executive,NA,"$4,000to$8,000",Monthly,https://www.mycareersfuture.sg/job/data-scientist-engineer-axinan-3e9fc8187093c588367d563d665fc5a6,Engineering
64,Data Scientist,LAM RESEARCH SINGAPORE PTE LTD,NA,Professional,NA,"$4,000to$6,000",Monthly,https://www.mycareersfuture.sg/job/data-scientist-lam-research-singapore-9e4b9e2ae9daed623f2d15797522e5af,Engineering
65,Senior Data Scientist,LAM RESEARCH SINGAPORE PTE LTD,NA,Professional,NA,"$8,500to$12,750",Monthly,https://www.mycareersfuture.sg/job/senior-data-scientist-lam-research-singapore-39a6a61293d9201fd000b332a9c9c71e,Engineering
66,Data Scientist,LAM RESEARCH SINGAPORE PTE LTD,NA,Professional,NA,"$6,000to$9,000",Monthly,https://www.mycareersfuture.sg/job/data-scientist-lam-research-singapore-aa94bed511241e289ba7e59d0f3a931c,Engineering
67,"VP, Data Scientist, Investment and Trading Technology, Technology and Operations (WD00504)",DBS BANK LTD.,NA,Senior Management,NA,"$10,400to$18,700",Monthly,https://www.mycareersfuture.sg/job/vp-data-scientist-investment-trading-technology-technology-operations-dbs-bank-0909ef5e6b8ab9703b636f8583fdf5bc,Banking and Finance
68,"AVP, Data Scientist, Investment and Trading Technology, Technology and Operations (WD00504)",DBS BANK LTD.,NA,Senior Management,NA,"$6,500to$11,700",Monthly,https://www.mycareersfuture.sg/job/avp-data-scientist-investment-trading-technology-technology-operations-dbs-bank-cc25a5f8efa8b6a2c3374e7968c03adf,Banking and Finance
69,Data Scientist,OVERSEA-CHINESE BANKING CORPORATION LIMITED,Central,Professional,NA,"$4,800to$8,000",Monthly,https://www.mycareersfuture.sg/job/data-scientist-oversea-chinese-banking-corporation-3e44f41193fa546b0269a694af5bdf16,Banking and Finance
70,Data Scientist (Project Manager),EPS COMPUTER SYSTEMS PTE LTD,Islandwide,Manager,NA,"$6,000to$9,000",Monthly,https://www.mycareersfuture.sg/job/data-scientist-eps-computer-systems-ecc54c848d8518b15d57426b4c00ed18,Information Technology
71,"Assoc, Data Scientist (BAU) Operations Intelligence, CBG Ops, Technology and Operations (WD03348)",DBS BANK LTD.,Central,Senior Executive,NA,"$3,750to$6,800",Monthly,https://www.mycareersfuture.sg/job/assoc-data-scientist-operations-intelligence-cbg-ops-technology-operations-dbs-bank-65332cf8dfa1f7d3878d9dbd1cfb0a65,Banking and Finance
