,job_titles,companys,location,employment_type,gov_support,salary,salary_unit,links,industrys
0,Senior Data Engineer (Data Science and Artificial Intelligence),Maritime and Port Authority of Singapore,NA,Executive,NA,Salary undisclosed,,https://www.mycareersfuture.sg/job/senior-data-engineer-maritime-port-authority-singapore-5e04d9fe6a97ad7bd5cb86353a193535,Public / Civil Service
1,"Data Engineer,  Information Technology Group (ITG)",Ministry of Social and Family Development,NA,NA,NA,Salary undisclosed,,https://www.mycareersfuture.sg/job/data-engineer-information-technology-group-ministry-social-family-development-d66d8375a165d9e8e2d0bd17215564d4,Public / Civil Service
2,Big Data Engineer,BIOFOURMIS SINGAPORE PTE. LTD.,West,Senior Executive,NA,"$5,200to$6,700",Monthly,https://www.mycareersfuture.sg/job/big-data-engineer-biofourmis-singapore-da5fe40ce8998abe2e3646825351e2ae,Engineering
3,Senior Data Engineer,CHASSASIA (SINGAPORE) PTE. LTD.,South,Professional,NA,"$6,000to$7,500",Monthly,https://www.mycareersfuture.sg/job/senior-data-engineer-chassasia-c63e7b3f80da4fcbb4c8b39eba1e3257,Information Technology
4,Data Engineer,TWITTER ASIA PACIFIC PTE. LTD.,Central,Professional,NA,"$9,500to$11,000",Monthly,https://www.mycareersfuture.sg/job/data-engineer-twitter-asia-pacific-c6221099c428ae5fc4bfbfd1ff9f6301,Information Technology
5,Data Engineer,WORKATO PTE. LTD.,South,Executive,NA,"$4,000to$8,000",Monthly,https://www.mycareersfuture.sg/job/data-engineer-workato-5dd422fd941f66c1662bb2f4f31f3a87,Engineering ...
6,Data Engineer,NTUC ENTERPRISE CO-OPERATIVE LTD,NA,Executive,NA,"$4,000to$8,000",Monthly,https://www.mycareersfuture.sg/job/data-engineer-ntuc-enterprise-co-operative-a118578b8fe7de0f58393562c0cdcd4e,Information Technology
7,Data Engineer,NTUC ENTERPRISE CO-OPERATIVE LTD,NA,Executive,NA,"$4,000to$8,000",Monthly,https://www.mycareersfuture.sg/job/data-engineer-ntuc-enterprise-co-operative-a1e1648c7fd2a8fcbd5ab23042e77a88,Information Technology
8,Data Engineer,CAPGEMINI SINGAPORE PTE. LTD.,"East, Central",Professional,NA,"$5,000to$7,500",Monthly,https://www.mycareersfuture.sg/job/data-engineer-capgemini-singapore-6881270e60e57757dd030a42764e21ad,Information Technology
9,Data Engineer,SNAPHUNT PTE. LTD.,Central,Executive ...,NA,Salary undisclosed,,https://www.mycareersfuture.sg/job/data-engineer-snaphunt-a38b7e4fc7c00027901160934f27a098,Information Technology
10,Data Engineer,FRIARTUCK PTE LTD,South,Professional ...,NA,"$6,000to$8,000",Monthly,https://www.mycareersfuture.sg/job/data-engineer-friartuck-e8e662f966d095b2b32e8e377867d458,Consulting  ...
11,Data Engineer,BLUE STAR INFOSTACK SOLUTIONS PTE. LTD.,Central,Executive,NA,"$5,000to$8,000",Monthly,https://www.mycareersfuture.sg/job/data-engineer-blue-star-infostack-solutions-bc7099b889534b21f4f4319cebdbf84d,Information Technology
12,"Associate, Data Engineer",GIC PRIVATE LIMITED,Central,Middle Management,NA,"$4,500to$9,000",Monthly,https://www.mycareersfuture.sg/job/associate-data-engineer-gic-55a22c4264e591bcaee716bce709fb60,Banking and Finance
13,Data Engineer,SEPHORA DIGITAL SEA PTE. LTD.,Central,Executive,NA,"$5,000to$7,000",Monthly,https://www.mycareersfuture.sg/job/data-engineer-sephora-digital-sea-962255d64727236cd89114590e7c8f55,Engineering
14,Senior / Data Engineer (Data Science Team),M1 LIMITED,West,Fresh/entry level ...,NA,"$3,500to$5,800",Monthly,https://www.mycareersfuture.sg/job/senior-data-engineer-m1-1fc844c78813223b095744286b52d2c2,Engineering ...
15,"Associate, Data Engineer, Consumer Banking, Technology and Operations (WD03017)",DBS BANK LTD.,Central,Junior Executive,NA,"$3,750to$6,800",Monthly,https://www.mycareersfuture.sg/job/associate-data-engineer-consumer-banking-technology-operations-dbs-bank-a66f5940d9a82290a3f458944993a5ec,Banking and Finance
16,"Analyst, Data Engineer, Consumer Banking, Technology and Operations (WD03017)",DBS BANK LTD.,Central,Junior Executive,NA,"$2,550to$4,600",Monthly,https://www.mycareersfuture.sg/job/analyst-data-engineer-consumer-banking-technology-operations-dbs-bank-56551cd93d1424408556a629355986ea,Banking and Finance
17,"VP / AVP, Senior Data Engineer, Group Consumer Banking and Big Data Analytics Technology (180003L2)",DBS BANK LTD.,NA,Middle Management ...,NA,"$7,000to$14,000",Monthly,https://www.mycareersfuture.sg/job/vp-avp-senior-data-engineer-group-consumer-banking-big-data-analytics-technology-dbs-bank-4bcecb29e46d4659953a716290f051ae,Banking and Finance
18,Data Engineer,SHOPEE SINGAPORE PRIVATE LIMITED,South,Executive,NA,"$4,400to$8,400",Monthly,https://www.mycareersfuture.sg/job/data-engineer-shopee-singapore-c22b645bb61ff1dfe5114048349fa91b,Information Technology
19,Data Engineer,BLUE STAR INFOSTACK SOLUTIONS PTE. LTD.,Central,Executive,NA,"$4,000to$4,500",Monthly,https://www.mycareersfuture.sg/job/data-engineer-blue-star-infostack-solutions-50e8e12c5cbb1f42d68a4060f5bca5e6,Information Technology
20,Senior Data Engineer,KELLY SERVICES (SINGAPORE) PTE. LTD.,East,Senior Executive,NA,"$6,500to$7,500",Monthly,https://www.mycareersfuture.sg/job/senior-data-engineer-kelly-services-f0a5c5ee8036446152af08c1c702ceb4,Information Technology
21,Data Engineer,STAR ASIA TRADING PTE. LTD.,NA,Professional,NA,Salary undisclosed,,https://www.mycareersfuture.sg/job/data-engineer-star-asia-trading-14710449bba9c2bc549481ca0cd46e63,Information Technology
22,"Data Engineer, Data Governance (1 Year Contract)",AIA SINGAPORE PRIVATE LIMITED,Central,Professional,NA,"$6,000to$8,000",Monthly,https://www.mycareersfuture.sg/job/data-engineer-data-governance-aia-singapore-3c1e204c62ae5e831344b691bbfcd24e,Banking and Finance ...
23,DATA ENGINEER  /  ANALYST,HYDROINFORMATICS INSTITUTE PTE. LTD.,NA,Professional,NA,"$5,200to$6,200",Monthly,https://www.mycareersfuture.sg/job/data-engineer-analyst-hydroinformatics-institute-fded84bb3fd40f9402639d0db532d8cb,Engineering
24,Data Engineer,Company Undisclosed,NA,Professional,NA,"$8,000to$15,000",Monthly,https://www.mycareersfuture.sg/job/data-engineer-2ddd98f69be84f272e2ce4cd03b3df13,Engineering ...
25,Data Engineer,GRABTAXI HOLDINGS PTE. LTD.,Central,Professional,NA,"$8,000to$13,000",Monthly,https://www.mycareersfuture.sg/job/data-engineer-grabtaxi-holdings-7b8bd6652aec3f6a52e216b6c033afc0,Information Technology
26,Data Engineer,GRABTAXI HOLDINGS PTE. LTD.,Central,Professional,NA,"$5,300to$8,000",Monthly,https://www.mycareersfuture.sg/job/data-engineer-grabtaxi-holdings-b87be1cbc6cf184b4f4ae0c75411040f,Information Technology
27,High-Performance Data Engineer,NIOMETRICS (PTE.) LTD.,East,Professional,NA,"$5,500to$11,000",Monthly,https://www.mycareersfuture.sg/job/high-performance-data-engineer-niometrics-4818bc33f80e5d67a0553b6d7348130d,Information Technology
28,Data Engineer,ZAVE TECHNOLOGY PTE. LTD.,Central,Junior Executive,NA,"$3,000to$4,000",Monthly,https://www.mycareersfuture.sg/job/data-engineer-zave-technology-78cc7202accd0543cba338ff9a785456,Information Technology
29,DATA ENGINEER,ZENIKA PTE. LTD.,Central,Professional,NA,"$5,000to$7,000",Monthly,https://www.mycareersfuture.sg/job/data-engineer-zenika-15edec0b30fd66464eafeabe29b3eac1,Information Technology
30,Senior Level Data Engineer,TRAVELOKA SERVICES PTE. LTD.,NA,Senior Executive,NA,"$8,300to$15,000",Monthly,https://www.mycareersfuture.sg/job/senior-level-data-engineer-traveloka-services-9708b2f3aa461757cb12be6c9df31c95,Information Technology
31,Mid - Senior Level Data Engineer,TRAVELOKA SERVICES PTE. LTD.,NA,Executive,NA,"$6,100to$10,700",Monthly,https://www.mycareersfuture.sg/job/mid-senior-level-data-engineer-traveloka-services-80251b4e45e5ed8f6319c691e6d81568,Information Technology
32,Mid Level Data Engineer,TRAVELOKA SERVICES PTE. LTD.,NA,Executive,NA,"$4,300to$7,600",Monthly,https://www.mycareersfuture.sg/job/mid-level-data-engineer-traveloka-services-10ec08dd2c1d9154c02d032d6e438e7f,Information Technology
33,Junior - Mid Level Data Engineer,TRAVELOKA SERVICES PTE. LTD.,NA,Fresh/entry level,NA,"$3,000to$6,000",Monthly,https://www.mycareersfuture.sg/job/junior-mid-level-data-engineer-traveloka-services-8870a85841fc70677fdef3807414055f,Information Technology
34,Data Engineer,THALES SOLUTIONS ASIA PTE. LTD.,Central,Executive,NA,"$5,000to$7,000",Monthly,https://www.mycareersfuture.sg/job/data-engineer-thales-solutions-asia-a61acadd3a13cabfa28cbd6ed9839dda,Engineering
35,Data Engineer,CAPGEMINI SINGAPORE PTE. LTD.,Central,Professional,NA,"$5,500to$7,500",Monthly,https://www.mycareersfuture.sg/job/data-engineer-capgemini-singapore-d10dfc4f7055ae16e42b97aede1dc49d,Engineering
36,Senior Data Engineer,POCKETMATH PTE. LTD.,NA,Professional,NA,"$8,000to$12,000",Monthly,https://www.mycareersfuture.sg/job/senior-data-engineer-pocketmath-b212918be9ac78f109bf5a83435793c0,Engineering
37,"VP, Senior Data Engineer Consultant, CBG and Big Data Analytics Technology, T&O (1800059H)",DBS BANK LTD.,NA,Senior Management,NA,"$10,400to$18,700",Monthly,https://www.mycareersfuture.sg/job/vp-senior-data-engineer-consultant-cbg-big-data-analytics-technology-to-dbs-bank-8c58379b68103b67e3a76d99d4729996,Banking and Finance
38,"AVP, Senior Data Engineer Consultant, CBG and Big Data Analytics Technology, T&O (1800059H)",DBS BANK LTD.,NA,Senior Management,NA,"$6,500to$11,700",Monthly,https://www.mycareersfuture.sg/job/avp-senior-data-engineer-consultant-cbg-big-data-analytics-technology-to-dbs-bank-1d8ad72709f3154a32cd9de7d7cf0735,Banking and Finance
39,Data Engineer,DATAROBOT SINGAPORE PTE. LTD.,Central,Professional,NA,"$100,000to$160,000",Annually,https://www.mycareersfuture.sg/job/data-engineer-datarobot-singapore-b1f81a36ee1f58095e92b7f8df51dc55,Information Technology
40,Data Engineer,RAKUTEN ASIA PTE. LTD.,Central,Executive,NA,"$4,500to$8,000",Monthly,https://www.mycareersfuture.sg/job/data-engineer-rakuten-asia-d9253502fec7b656baeaab5cc1835d7c,Information Technology
41,Data Engineer (1 year contract),PRUDENTIAL ASSURANCE COMPANY SINGAPORE (PTE) LIMITED,Central,Senior Executive,NA,"$5,000to$8,000",Monthly,https://www.mycareersfuture.sg/job/data-engineer-prudential-assurance-company-singapore-4982b4b9db0341c48b09099ca8365715,Engineering ...
42,Data Engineer,RAKUTEN ASIA PTE. LTD.,Central,Manager,NA,"$4,500to$8,000",Monthly,https://www.mycareersfuture.sg/job/data-engineer-rakuten-asia-e5556b6edf0546b28019f1ca66cf2445,Information Technology
43,DATA ENGINEER,WSH EXPERTS PTE. LTD.,NA,Professional,NA,"$4,000to$6,000",Monthly,https://www.mycareersfuture.sg/job/data-engineer-wsh-experts-ef93c0f21815cfce95d1313eefa393ca,Design ...
44,"Data Engineer (5 days, Orchard, $3500-4000)",MACHSPEED HUMAN RESOURCES PTE. LTD.,Central,Executive,NA,"$3,500to$4,000",Monthly,https://www.mycareersfuture.sg/job/data-engineer-machspeed-human-resources-9c999223513204829571b526116d0a8e,Information Technology
45,"Data Engineer (5 days, Orchard, $3500-4000)",MACHSPEED HUMAN RESOURCES PTE. LTD.,Central,Executive,NA,"$3,500to$4,000",Monthly,https://www.mycareersfuture.sg/job/data-engineer-machspeed-human-resources-6151ed07ab7631ad36ba0b3b6addcfc9,Information Technology
46,"Data Engineer (5 days, Orchard, $3500-4000)",MACHSPEED HUMAN RESOURCES PTE. LTD.,Central,Executive,NA,"$3,500to$4,000",Monthly,https://www.mycareersfuture.sg/job/data-engineer-machspeed-human-resources-f34bee56895534487ba687a5cc60ebe1,Information Technology
47,"Data Engineer (5 days, Orchard, $3500-4000)",MACHSPEED HUMAN RESOURCES PTE. LTD.,Central,Executive,NA,"$3,500to$4,000",Monthly,https://www.mycareersfuture.sg/job/data-engineer-machspeed-human-resources-d65a0cdbc221257155e1280e9b9f8e39,Information Technology
48,"Data Engineer (5 days, Orchard, $3500-4000)",MACHSPEED HUMAN RESOURCES PTE. LTD.,Central,Executive,NA,"$3,500to$4,000",Monthly,https://www.mycareersfuture.sg/job/data-engineer-machspeed-human-resources-5f18b458f9506576215c3fb0a7991c03,Information Technology
49,"Data Engineer (5 days, Orchard, $3500-4000)",MACHSPEED HUMAN RESOURCES PTE. LTD.,Central,Professional,NA,"$3,500to$4,000",Monthly,https://www.mycareersfuture.sg/job/data-engineer-machspeed-human-resources-6e0155d876600e31d54ece9decec9cbb,Information Technology
50,"Data Engineer (5 days, Orchard, $3500-4000)",MACHSPEED HUMAN RESOURCES PTE. LTD.,Central,Executive,NA,"$3,500to$4,000",Monthly,https://www.mycareersfuture.sg/job/data-engineer-machspeed-human-resources-9b0ecd4bea2dffefc12de8acaf63fa75,Information Technology
51,"Data Engineer (5 days, Orchard, $3500-4000)",MACHSPEED HUMAN RESOURCES PTE. LTD.,Central,Executive,NA,"$3,500to$4,000",Monthly,https://www.mycareersfuture.sg/job/data-engineer-machspeed-human-resources-e8173565ba67540e66912abb69c1c442,Information Technology
52,"Data Engineer (5 days, Orchard, $3500-4000)",MACHSPEED HUMAN RESOURCES PTE. LTD.,Central,Professional,NA,"$3,500to$4,000",Monthly,https://www.mycareersfuture.sg/job/data-engineer-machspeed-human-resources-1cbdce1d06f02b2bc1ebf61b4640cfff,Information Technology
53,"Data Engineer (5 days, Orchard, $3500-4000)",MACHSPEED HUMAN RESOURCES PTE. LTD.,Central,Executive,NA,"$3,500to$4,000",Monthly,https://www.mycareersfuture.sg/job/data-engineer-machspeed-human-resources-ed1be252fa40dc466e6a5bbe8212e087,Information Technology
54,"Data Engineer (5 days, Orchard, $3500-4000)",MACHSPEED HUMAN RESOURCES PTE. LTD.,Central,Executive,NA,"$3,500to$4,000",Monthly,https://www.mycareersfuture.sg/job/data-engineer-machspeed-human-resources-13f9fd09543765ba1ea4c456ec0ca041,Information Technology
55,"Data Engineer (5 days, Orchard, $3500-4000)",MACHSPEED HUMAN RESOURCES PTE. LTD.,Central,Executive,NA,"$3,500to$4,000",Monthly,https://www.mycareersfuture.sg/job/data-engineer-machspeed-human-resources-4b43620f59ca8d687fd939242460261f,Information Technology
