,job_titles,companys,location,employment_type,gov_support,salary,salary_unit,links,industrys
0,Senior Data Engineer (Data Science and Artificial Intelligence),Maritime and Port Authority of Singapore,NA,Executive,NA,Salary undisclosed,,https://www.mycareersfuture.sg/job/senior-data-engineer-maritime-port-authority-singapore-5e04d9fe6a97ad7bd5cb86353a193535,Public / Civil Service
1,Applied Data Science Associate,DATAROBOT SINGAPORE PTE. LTD.,Central,Professional,NA,"$90,000to$150,000",Annually,https://www.mycareersfuture.sg/job/applied-data-science-associate-datarobot-singapore-f435347c5bb57a365a10f5a441f14f6f,Information Technology
2,"Data Science Lead, Large Customer Sales - Singapore",GOOGLE ASIA PACIFIC PTE. LTD.,South,Executive,NA,"$7,700to$15,400",Monthly,https://www.mycareersfuture.sg/job/data-science-lead-large-customer-sales-singapore-google-asia-pacific-512c1b9885c48b7258df88fb03f575d4,Sales / Retail 
3,Data Science Engineer,ALLIANZ SE,Central,Executive,NA,"$5,000to$10,000",Monthly,https://www.mycareersfuture.sg/job/data-science-engineer-allianz-se-01aac3fc60fdd18c440e224d1bb06f97,Others
4,Presales Specialist - Data Science,SAP ASIA PTE. LTD.,South,Professional,NA,"$6,000to$8,000",Monthly,https://www.mycareersfuture.sg/job/presales-specialist-data-science-sap-asia-e29935b68cb10990b9920fead69107e7,Consulting 
5,Senior / Data Engineer (Data Science Team),M1 LIMITED,West,Fresh/entry level ...,NA,"$3,500to$5,800",Monthly,https://www.mycareersfuture.sg/job/senior-data-engineer-m1-1fc844c78813223b095744286b52d2c2,Engineering ...
6,"Assistant Manager, Data Science",SCOOT TIGERAIR PTE. LTD.,East,Professional,NA,"$4,000to$6,500",Monthly,https://www.mycareersfuture.sg/job/assistant-manager-data-science-scoot-tigerair-fc46653b9a1c67d4f9a50be6547e82c7,Others
7,Data Science Consulting,Company Undisclosed,NA,Executive,NA,"$5,000to$9,000",Monthly,https://www.mycareersfuture.sg/job/data-science-consulting-f9f764d12974f48d7d205bf16a417566,Consulting 
8,Data Science Engineer,DATAROBOT SINGAPORE PTE. LTD.,Central,Professional,NA,"$90,000to$150,000",Annually,https://www.mycareersfuture.sg/job/data-science-engineer-datarobot-singapore-51a02f9c2b6cd9a12c4d34b71a9560ef,Information Technology
9,Data Science Analyst,DENTSU AEGIS NETWORK HUB2050,Central,Junior Executive,NA,"$4,000to$8,000",Monthly,https://www.mycareersfuture.sg/job/data-science-analyst-dentsu-aegis-network-hub2050-15b2789db707ae6384b9c8b168cd18d3,Sciences / Laboratory / R&D
10,Senior Research Fellow (Institute of Data Science),NATIONAL UNIVERSITY OF SINGAPORE,South,Non-executive,NA,"$72,000to$140,000",Annually,https://www.mycareersfuture.sg/job/senior-research-fellow-national-university-singapore-426ae488b7603cc178f66da18f3a5f41,Sciences / Laboratory / R&D
11,"Senior Manager / Assistant Director (Data Science), NUHS Management Decision Support Office",NATIONAL UNIVERSITY HEALTH SYSTEM PTE. LTD.,South,Middle Management,NA,"$5,410to$10,890",Monthly,https://www.mycareersfuture.sg/job/senior-manager-assistant-director-nuhs-management-decision-support-office-national-university-health-system-fb52da27c4dca41df18bed2438bca1ce,Information Technology
12,Data Science Analyst,Company Undisclosed,NA,Executive,NA,"$4,500to$6,300",Monthly,https://www.mycareersfuture.sg/job/data-science-analyst-0da525c676d211d9393c5ce574aa4d62,Others
